边城	The Border Town
」翠翠不理会祖父，口中却轻轻的说：「不是翠翠，不是翠翠，翠翠早被大河里鲤鱼吃去了。」翠翠上了船，二老派来的人，打着火把走了，祖父牵着船问：「翠翠，你怎么不答应我，生我的气了吗？」	He immediately set out with his boat, calling out in his hoarse voice, "Cuicui, Cuicui, is it you?" Cuicui didn't answer her grandpa, but only said, under her breath, "No, it's not Cuicui, not her, Cuicui was eaten by a big fish in the river long ago." When she was in the boat, the man sent by No. 2 left with his torch. Grandpa pulled on the ferry cable and asked, "Cuicui, why didn't you answer me? Are you angry at me?"
翠翠站在船头还是不作声。	Cuicui stood in the prow and still said not a word.
翠翠对祖父那一点儿埋怨，等到把船拉过了溪，一到了家中，看明白了醉倒的另一个老人后，就完事了。	Her irritation at her granddad dissipated when she got home across the creek and saw how drunk the other old man was.
但另一件事，属于自己不关祖父的，却使翠翠沉默了一个夜晚。	But something else, which had to do with her and not her grandfather, kept Cuicui in silence through the rest of the night.
第五章	CHAPTER FIVE
两年日子过去了。	Two years passed.
这两年来两个中秋节，恰好都无月亮可看，凡在这边城地方，因看月而起整夜男女唱歌的故事，皆不能如期举行，故两个中秋留给翠翠的印象，极其平淡无奇。	It happened that during neither of those years' Mid-autumn Festivals, when the moon should have been at its fullest, was there any moon to be seen.  None of the exploits of young girls and boys singing love songs to each other all night under the moonlight, customary in this border town, could take place.  Hence the two Mid-autumn Festivals had made only a very faint impression on Cuicui.
两个新年却照例可以看到军营里与各乡来的狮子龙灯，在小教场迎春，锣鼓喧阗很热闹。	But during the last two New Year's celebrations, she could see soldiers and villagers put on lion dances and processions of dragon lanterns on the parade grounds to welcome in the spring.  The sound of the drums and gongs was exciting and raucous.
到了十五夜晚，城中舞龙耍狮子的镇筸兵士，还各自赤裸着肩膊，往各处去欢迎炮仗烟火。	At the end of the festival on the evening of the fifteenth of the first month, the garrison soldiers who had frolicked inside the lions and dragons traveled all over, bare-chested, braving the fireworks.
城中军营里，税关局长公馆，河街上一些大字号，莫不预先截老毛竹筒，或镂空棕榈树根株，用洞硝拌和磺炭钢砂，一千捶八百捶把烟火做好。	At the army encampment in town, at the residence of the head customs inspector, and in some of the bigger establishments on River Street, everyone cut thin bamboos or hollowed out palm tree roots and stems, then mixed saltpeter with sulfur, charcoal, and steel powder to make thousand-pop firecrackers.
好勇取乐的军士，光赤着个上身，玩着灯打着鼓来了，小鞭炮如落雨的样子，从悬到长竿尖端的空中落到玩灯的肩背上，锣鼓催动急促的拍子，大家皆为这事情十分兴奋。	Daring and fun-loving soldiers, stripped to the waist, came waving their lanterns and beating their drums as packs of little firecrackers dangling from poles sent sparks down their backs and shoulders like rain showers.
鞭炮放过一阵后，用长凳绑着的大筒灯火，在敞坪一端燃起了引线，先是丝丝的流泻白光，慢慢的这白光便吼啸起来，作出如雷如虎惊人的声音，白光向上空冲去，高至二十丈，下落时便洒散着满天花雨。	The quickening beat of drums and gongs sent the crowd into a frenzy.  When the bursts of firecrackers were over, the crowd fired rockets from great tubes anchored to the feet of long benches, setting them off with fuses that extended into an open field.  First came a white light with a sizzle.  Slowly, slowly, the sizzle changed into a great howl, like a frightening clap of thunder and the roar of a tiger, as the white light shot up two hundred feet into the air.  Then it showered the whole sky with multicolored sparks thick as droplets of rain.
玩灯的兵士，在火花中绕着圈子，俨然毫不在意的样子。	The soldiers brandishing lanterns went around in circles, oblivious to the sparks.
翠翠同他的祖父，也看过这样的热闹，留下一个热闹的印象，但这印象不知为什么原因，总不如那个端午所经过的事情甜而美。	Cuicui witnessed this excitement with her grandfather and it made an impression on her, but inexplicably, it was not as sweet and beautiful as that left by the day of the dragon boats two years before.
翠翠为了不能忘记那件事，上年一个端午又同祖父到城边河街去看了半天船，一切玩得正好时，忽然落了行雨，无人衣衫不被雨湿透。	Unable to forget that day, Cuicui had gone back to River Street with her grandpa the year before and watched the boats for some time.  Just when everything was going fine, it suddenly began to rain, soaking everyone to the bone.
为了避雨，祖孙二人同那只黄狗，走到顺顺吊脚楼上去，挤在一个角隅里。	To escape the rain, grandfather and granddaughter, with the yellow dog, had gone up into Shunshun's stilt house, where they crowded into a corner.
有人扛凳子从身边过去，翠翠认得那人是去年打了火把送她回家的人，就告给祖父：	Someone passed by them carrying a stool; Cuicui recognized him as the man with the torch who had led her home.  She said to her grandfather:
「爷爷，那个人去年送我回家，他拿了火把走路时，真像个喽啰！」	"Grandfather, that's the man who brought me home last year. Walking along the path with a torch like that, he was just like a highwayman!"
祖父当时不作声，等到那人回头又走过面前时，就一把抓住那个人，笑嘻嘻说：	At first Grandpa said nothing, but when the man turned his head and approached, the ferryman grabbed him and said, grinning widely,
「嗨嗨，你这个人！要你到我家喝一杯也不成，还怕酒里有毒，把你这个真命天子毒死！」	"Hey, there, you old highwayman, I asked you to stay for a drink but you wouldn't stay put! Were you afraid of poison? Did you think I dared to slay a true-born Son of Heaven?"
那人一看是守渡船的，且看到了翠翠，就笑了。	When the man saw that it was the ferryman, and then caught sight of Cuicui, he grinned.
